30
79 1.1-2.2 3.3
79 4.4 -3.5 -1.6
79 -4.1 2.3 1.2
79 -3.2 -1.1 2.2
79 -0.5 3.6 -4.3
79 2.7 -1.3 4.4
79 -3.6 0.4 1.7
79 -4.4 1.8 -2.2
79 0.3 4.4 -1.6
79 3.5 -0.5 2.4
79 1.9 3.0 -4.1
79 2.2 -3.7 -1.8
79 -1.1 4.1 0.6
79 -3.4 -2.0 1.9
79 1.0 -1.4 3.2
79 3.3 2.1-2.6
79 -4.0 -3.3 0.7
79 -2.7 0.3 -3.5
79 2.9 1.2 -0.8
79 -0.6 3.1 1.4
79 0.0 -5 0.0
79 4.0 0 0.0
79 0.0 5 0.0
79 -1.446 1.482 -2.7
79 2.682 -2.322 0.42
79 2.37 -2.07 1.398
79 -2.862 -1.404 0.144
79 -0.816 1.62 -2.094
79 0 1.6 0.0
79 0.0 0.0 4.3
